brand_code,carb_volume,fill_ounces,pc_volume,carb_pressure,carb_temp,psc_fill,psc_co2,mnf_flow_bin,carb_pressure1,fill_pressure,hyd_pressure1_bin,hyd_pressure2_bin,hyd_pressure3_bin,hyd_pressure4,filler_level,temperature,usage_cont,carb_flow_bin,density_bin,balling_bin,pressure_vacuum,ph,bowl_setpoint_bin,pressure_setpoint_bin,air_pressurer_bin,alch_rel_bin,carb_rel,balling_lvl_bin,psc_trans,filler_speed_trans,mfr_trans,oxygen_filler_trans
D,5.49333333333333,24.1333333333333,0.202666666666667,68,138.8,0.34,0.0999999999999996,negative,115.4,46.2,zero,zero,zero,72,116.8,66.4,23.86,high,high,high,-4,8.42,120,46,high,high,5.58,high,-1.470849737787082,8048071.5,269671.18,-1.7501628257398356
D,5.51333333333333,24.1,0.258,73.4,145.2,0.0400000000000027,0.0599999999999996,negative,120.4,45.8,zero,zero,zero,80,121.8,67,23.3,high,high,high,-4,8.56,120,46,high,high,5.6,high,-1.6653359893863697,8048071.5,268204.38,-1.6959690005066166
D,5.58,24.0466666666667,0.231333333333333,71.6,140.6,0.140000000000001,0,negative,124.4,40.4,zero,zero,zero,108,120.4,71.2,23.16,low,high,high,-4,8.5,120,46,high,high,5.58,high,-1.590121969361616,508031.5,27612,-1.5787228554068413
D,5.53333333333333,23.98,0.219333333333333,72,142.8,0.16,0.0599999999999996,negative,117.4,46.8,zero,zero,zero,78,121.2,67,22.9,high,high,high,-4,8.5,120,46,high,high,5.6,high,-1.53524199845511,8048071.5,269083.98000000004,-1.717218551671142
A,5.40666666666667,23.9466666666667,0.166666666666667,66.6,136.8,0.16,0.24,negative,120.4,46.8,zero,zero,zero,138,136.8,66.4,19.78,low,high,high,-4,8.6,120,46,high,high,5.6,high,-1.262436443416569,506017.5,45480.780000000006,-2.079401977103413
A,5.43333333333333,24.0666666666667,0.239333333333333,75.2,148.4,0.0399999999999991,0.0200000000000005,negative,113.6,45.6,zero,zero,zero,110,119.8,67.4,20.12,high,high,high,-4,8.4,120,46,high,mid,5.54,high,-1.406704121032347,8040049.5,267911.5,-2.299018741836315
A,5.44,24.2,0.251333333333333,69.8,141.8,0.219999999999999,0.04,negative,117.6,46.6,zero,zero,zero,106,119.8,66.6,23.14,high,high,high,-4.2,8.5,120,46,high,mid,5.44,high,-1.307179676972449,8040049.5,279751.5,-2.2759300725733387
A,5.42,24.02,0.236,69.6,141.8,0.199999999999999,0.04,negative,118.2,46.4,zero,zero,zero,118,120.2,68.4,20.64,high,high,high,-4.2,8.5,120,46,high,mid,5.46,high,-1.4,8048071.5,256327.5,-2.520327901793584
A,5.44,24,0.214666666666667,70,141.8,0.119999999999997,0.04,negative,115.4,46.4,zero,zero,zero,106,119.8,67.6,16.4,high,high,high,-4.2,8.46,120,46,high,mid,5.46,high,-1.4272871574689459,8040049.5,265865.82,-2.1146001881855723
A,5.31333333333333,24.06,0.240666666666667,71,146.2,0.259999999999998,0.04,negative,115.4,45.8,zero,zero,zero,96,118.6,66,22.74,high,high,high,-4,8.46,120,46,high,mid,5.4,high,-1.4,8048071.5,256900.61999999997,-1.49199835286105
D,5.56,24.0266666666667,0.256666666666667,73,142.6,0.140000000000001,0,negative,118.2,46,zero,zero,zero,80,119.8,66,20.16,high,high,high,-4,8.56,120,46,high,high,5.64,high,-1.278889744907202,8040049.5,269524.32,-2.299018741836315
D,5.59333333333333,24.1266666666667,0.217333333333333,74,143.4,0.580000000000002,0.08,negative,113.4,45.8,zero,zero,zero,80,121.8,66.2,16.84,high,high,high,-3.8,8.6,120,46,high,high,5.64,high,-1.355019380136116,8048071.5,265720,-2.4002791117731714
D,5.6,24.0066666666667,0.222666666666667,68.6,135.6,0.579999999999998,0.0999999999999996,negative,118,45.8,zero,zero,zero,74,114.6,66.4,18.44,high,high,high,-4.2,8.56,120,46,high,high,5.64,high,-1.1561990756108407,8072161.5,288495.58,-1.982911831727418
D,5.58,23.9866666666667,0.221333333333333,73.2,140.6,0.600000000000001,0.12,negative,114.6,46.2,zero,zero,zero,76,120.4,66.2,17.16,high,high,high,-4.2,8.54,120,46,high,high,5.66,high,-1.0878596599206896,8040049.5,268497.42,-2.5543088579352013
D,5.60666666666667,24.0666666666667,0.219333333333333,72,140.4,0.280000000000001,0.100000000000001,negative,120.4,46.6,zero,zero,zero,74,115.2,66.6,22.26,high,high,high,-4.2,8.66,120,46,high,high,5.68,high,-1.4940355743730593,8048071.5,289103.57999999996,-2.299018741836315
D,5.56,23.94,0.244666666666667,67,133.8,0.46,0.12,negative,121.8,45.6,zero,zero,zero,80,119.2,67.4,22.3,high,high,high,-4.2,8.6,120,46,high,high,5.62,high,-1.2844582472000674,8040049.5,270112,-2.5543088579352013
D,5.51333333333333,24.0133333333333,0.294666666666667,70.6,141,0.0799999999999983,0.04,negative,120,45.8,zero,zero,zero,76,120,67.2,18.56,high,high,high,-4.2,8.66,120,46,high,high,5.6,high,-1.4486380499163911,8040049.5,270994.72000000003,-2.5543088579352013
D,5.50666666666667,23.9866666666667,0.267333333333333,67,136.4,0.199999999999999,0.0199999999999996,negative,122.6,46,zero,zero,zero,82,119.6,65.4,23,high,high,high,-4.2,8.58,120,46,high,high,5.54,high,-1.3247222793546347,8064127.5,271141.98,-1.8708653554681016
D,5.49333333333333,23.9666666666667,0.259333333333333,68.6,140.2,0.0799999999999983,0.0999999999999996,negative,120,45.8,zero,zero,zero,72,121.4,65,17.1,high,high,high,-4.2,8.6,120,46,high,high,5.54,high,-1.5267136173520308,8040049.5,267033.81999999995,-1.967975021339981
D,5.49333333333333,23.94,0.105333333333333,75.8,148.2,0.0599999999999987,0.0399999999999991,negative,118.8,45.2,zero,zero,zero,78,120,64.8,17.52,high,high,high,-4.2,8.64,120,46,high,high,5.5,high,-1.7470177871865298,8064127.5,267765.12,-1.0239171218042922
D,5.4133333333333304,23.9533333333333,0.234,74.4,147.2,0.120000000000001,0.04,negative,117.8,46.6,zero,zero,zero,74,119,64,17.2,high,high,high,-4.2,8.6,120,46,high,high,5.5,high,-1.5267136173520308,8040049.5,273060,-2.0624206112940184
D,5.45333333333333,24.1,0.29,69.4,140.6,0.199999999999999,0.0199999999999996,negative,118,45.4,zero,zero,zero,76,118.8,64,20.36,high,high,high,-4.2,8.6,120,46,high,high,5.52,high,-1.4861906968533947,8064127.5,270406.07999999996,-1.6256073885202433
D,5.3,23.9733333333333,0.240666666666667,66.8,139.2,0.34,0.18,negative,118.2,46.2,zero,zero,zero,100,120.2,66.4,20.78,high,low,low,-4.4,8.62,120,46,high,low,5.34,low,-1.1851380485014653,8048071.5,265282.77999999997,-2.2759300725733387
B,5.34666666666667,24.1066666666667,0.23,67.2,140.8,0.0400000000000027,0.0200000000000005,negative,117.6,47.6,zero,zero,zero,132,115.8,66.2,17.22,high,low,low,-4.4,8.6,120,46,high,low,5.34,low,-1.3488471761560117,2171527.5,65593.92,-1.967975021339981
B,5.37333333333333,23.8666666666667,0.270666666666667,66.8,139,0.140000000000001,0.0600000000000005,negative,120.6,45,zero,zero,zero,94,120.4,66,20.9,high,low,low,-4.4,8.74,120,46,high,low,5.34,low,-1.367544467966324,8048071.5,265137.12000000005,-2.520327901793584
B,5.26666666666667,24.0266666666667,0.249333333333333,75.4,152.2,0.260000000000002,0.04,negative,117.6,46.6,zero,zero,zero,88,119.4,66,19.18,high,low,low,-4.4,8.64,120,46,high,low,5.34,low,-1.4559411796505821,8040049.5,266887.68,-2.299018741836315
D,5.49,23.9733333333333,0.314,72.6,143.8,0.0799999999999983,0.0199999999999996,negative,119.8,46.8,zero,zero,zero,90,121.4,65.6,16.2,high,low,low,-4.4,8.7,120,46,high,low,5.34,low,-1.2516685226452116,8056097.5,267618.78,-2.132863680240015
B,5.28666666666667,23.9066666666667,0.33,74,152.2,0.279999999999998,0.100000000000001,negative,119.8,46.8,zero,zero,zero,90,121.4,65.6,16.2,high,low,low,-4.4,8.7,120,46,high,low,5.34,low,-1.0576624808488204,8056097.5,267618.78,-2.132863680240015
B,5.35333333333333,23.9866666666667,0.317333333333333,70.2,143.6,0.220000000000002,0.04,negative,119,46.4,zero,zero,zero,94,121.2,66,21.98,high,low,low,-4.4,8.72,120,46,high,low,5.38,low,-1.4861906968533947,8040049.5,269965.01999999996,-2.2759300725733387
B,5.30666666666667,23.8533333333333,0.298666666666667,72.4,147.6,0.200000000000003,0.04,negative,118.6,45.4,zero,zero,zero,98,119.2,66.2,21.46,high,low,low,-4.4,8.7,120,46,high,low,5.38,low,-1.2570329751597316,8048071.5,274540,-2.299018741836315
B,5.26666666666667,23.9533333333333,0.288666666666667,70.4,146.4,0.0399999999999991,0.0599999999999996,negative,122.2,45.6,zero,zero,zero,96,120.6,66.2,16.4,high,low,low,-4.4,8.72,120,46,high,low,5.32,low,-1.3612512230931475,8056097.5,264845.92,-1.0390357456463797
B,5.29333333333333,24.0533333333333,0.358,70.6,145.6,0.3,0.08,negative,108.8,45.6,zero,zero,zero,94,118.6,66,19.26,high,low,low,-4.4,8.7,120,46,high,low,5.32,low,-1.278889744907202,8040049.5,259775.81999999998,-1.0858319248025678
B,5.27333333333333,23.82,0.300666666666667,70.2,145.8,0.18,0.0200000000000005,negative,112.8,45.8,zero,zero,zero,94,119.8,66.4,17.32,high,low,low,-4.2,8.7,120,46,high,low,5.34,low,-1.1609529214638787,8048071.5,268790.62000000005,-1.0492445522070684
B,5.29333333333333,24.0333333333333,0.296666666666667,68,143,0.200000000000003,0.0199999999999996,negative,119.2,45.2,zero,zero,zero,102,119.6,67.2,16.5,high,low,low,-4,8.7,120,46,high,low,5.34,low,-1.175378874876468,8056097.5,269083.98000000004,-1.9981504301603559
B,5.29333333333333,23.92,0.242,66.6,140.8,0.100000000000001,0.0199999999999996,negative,124.2,40,zero,zero,zero,128,120.4,66,13.84,low,low,low,-4,8.74,120,46,high,low,5.32,low,-1.6312182217082845,510049.5,90652.32,-1.560667619478632
B,5.3,23.9666666666667,0.343333333333333,68.8,143.4,0.0799999999999983,0.04,negative,117.2,46.6,zero,zero,zero,96,119.2,65.8,19.72,high,low,low,-4,8.66,120,46,high,low,5.34,low,-1.5710477882094556,8048071.5,269818.08,-2.1146001881855723
B,5.35333333333333,24.1133333333333,0.24,67.2,139.8,0.420000000000002,0.0599999999999996,negative,116.4,46.6,zero,zero,zero,94,120.6,65.6,22.04,high,low,low,-4.2,8.74,120,46,high,low,5.32,low,-1.2900704260280462,8040049.5,268057.92000000004,-2.1146001881855723
B,5.33333333333333,23.9866666666667,0.25,65.8,139,0.16,0.04,negative,117.2,46.4,zero,zero,zero,94,120.4,65.4,17.24,high,low,low,-4.2,8.72,120,46,high,low,5.34,low,-1.2957273255336397,8040049.5,265282.77999999997,-2.1516047398582434
B,5.36,23.9,0.285333333333333,66.6,138.8,0.16,0.04,negative,116,46.2,zero,zero,zero,90,119.2,65,23.4,high,low,low,-4.2,8.7,120,46,high,low,5.36,low,-1.5710477882094556,8040049.5,274688.22000000003,-2.520327901793584
B,5.31333333333333,23.88,0.318666666666667,68.8,143.8,0.0399999999999991,0.04,negative,120.8,46.4,zero,zero,zero,100,120.2,65,16.8,high,low,low,-4.2,8.74,120,46,high,low,5.34,low,-1.1467708396919383,8040049.5,268497.42,-1.685545982660013
B,5.34,24.12,0.279333333333333,69.2,144,0.260000000000002,0.100000000000001,negative,120.2,45.8,zero,zero,zero,94,119.8,65,22.24,high,low,low,-4.2,8.76,120,46,high,low,5.34,low,-1.518336216848308,8056097.5,270994.72000000003,-1.717218551671142
A,5.36666666666667,23.96,0.308666666666667,69,142.8,0.199999999999999,0.12,negative,118.8,46.8,zero,zero,zero,80,121.2,65.6,20.98,high,high,high,-4.6,8.6,120,46,high,mid,5.42,high,-1.1190913781781904,8032031.5,258336.21999999997,-2.520327901793584
A,5.34,23.96,0.285333333333333,71.8,147.4,0.199999999999999,0.12,negative,122.2,44.8,zero,zero,zero,108,119.8,66.2,18.3,high,high,high,-4.4,8.66,120,46,high,mid,5.44,high,-1.5439298299603448,8040049.5,269377.5,-2.132863680240015
D,5.46,24,0.237333333333333,72.4,144.2,0.36,0,negative,118.8,45.6,zero,zero,zero,78,120,64.2,16.96,high,high,high,-4.2,8.76,120,46,high,high,5.52,high,-1.561821953995867,8048071.5,263682.72000000003,-1.8326938891528417
D,5.46666666666667,23.9466666666667,0.338666666666667,70,141.2,0.18,0.0599999999999996,negative,118.6,46.4,zero,zero,zero,76,119.4,64,23.5,high,high,high,-4.2,8.6,120,46,high,high,5.52,high,-1.0922555425671825,8040049.5,267618.78,-1.0647584692003993
B,5.40666666666667,23.6666666666667,0.242666666666667,65.8,137,0.119999999999997,0.04,negative,118.4,45.6,zero,zero,zero,96,119.6,65.6,19.5,high,low,low,-4.2,8.52,120,46,high,low,5.36,low,-1.2151433251860566,8040049.5,267618.78,-2.1146001881855723
B,5.39333333333333,24.0866666666667,0.241333333333333,65,136.6,0.100000000000001,0.0200000000000005,negative,113.8,46.4,zero,zero,zero,98,120.4,66.4,16.62,high,low,low,-4.4,8.52,120,46,high,low,5.36,low,-1.4940355743730593,8056097.5,281849.81999999995,-2.132863680240015
B,5.36666666666667,24.1266666666667,0.216666666666667,67.6,140.4,0.0199999999999996,0.0600000000000005,negative,117,45.8,zero,zero,zero,94,119.6,67.4,19.12,high,low,low,-4.2,8.58,120,46,high,low,5.36,low,-1.590121969361616,8048071.5,270847.5,-2.132863680240015
B,5.34666666666667,24.0466666666667,0.377333333333333,72.4,145.2,0.279999999999998,0.12,negative,116,46,zero,zero,zero,92,120,66.2,18.3,high,low,low,-4.2,8.5,120,46,high,low,5.36,low,-1.0966728167491029,8040049.5,268057.92000000004,-2.1516047398582434
B,5.36666666666667,24.02,0.245333333333333,65.4,137.6,0.119999999999997,0.0199999999999996,negative,119.6,45.8,zero,zero,zero,94,119.4,66.6,18.66,high,low,low,-4.2,8.56,120,46,high,low,5.36,low,-1.2570329751597316,8056097.5,267326.22000000003,-2.520327901793584
B,5.34666666666667,24.06,0.206666666666667,72.6,147.4,0.140000000000001,0.0200000000000005,negative,116.6,45.4,zero,zero,zero,94,118.8,66.6,16.66,high,low,low,-4,8.54,120,46,high,low,5.34,low,-1.4134848680553929,8040049.5,271141.98,-2.299018741836315
B,5.35333333333333,23.94,0.284,64.2,136.2,0.18,0.0200000000000005,negative,119.6,45.4,zero,zero,zero,98,120,66.8,23.16,high,low,low,-3.8,8.54,120,46,high,low,5.38,low,-1.2050157234259284,8040049.5,264700.38,-1.967975021339981
B,5.36,24.08,0.201333333333333,69.6,141.6,0.240000000000002,0.0999999999999996,negative,121.4,48,zero,zero,zero,106,114.8,67.8,21.06,high,low,low,-3.8,8.58,120,46,high,low,5.36,low,-1.3427329309938005,2446471.5,122017.5,-1.65503972816964
B,5.33333333333333,23.9733333333333,0.286666666666667,69,143.4,0.139999999999997,0.08,negative,121.8,46.8,zero,zero,zero,92,119.6,66.8,17.7,high,low,low,-3.8,8.54,120,46,high,low,5.36,low,-1.3427329309938005,8072161.5,277363.01999999996,-1.982911831727418
B,5.35333333333333,23.9066666666667,0.318,63.8,135.6,0.0400000000000027,0.0200000000000005,negative,119.6,45.4,zero,zero,zero,96,120,65.6,19.62,high,low,low,-3.8,8.48,120,46,high,low,5.38,low,-1.3306719787727395,8048071.5,271878.88,-2.1146001881855723
