brand_code,carb_volume,fill_ounces,pc_volume,carb_pressure,carb_temp,psc_fill,psc_co2,mnf_flow_bin,carb_pressure1,fill_pressure,hyd_pressure1_bin,hyd_pressure2_bin,hyd_pressure3_bin,hyd_pressure4,filler_level,temperature,usage_cont,carb_flow_bin,density_bin,balling_bin,pressure_vacuum,ph,bowl_setpoint_bin,pressure_setpoint_bin,air_pressurer_bin,alch_rel_bin,carb_rel,balling_lvl_bin,filler_speed_trans,psc_trans,mfr_trans,oxygen_filler_trans
B,5.38666666666667,24.0933333333333,0.288666666666667,63,134,0.299999999999997,0.0200000000000005,negative,122.6,54.6,zero,zero,zero,128,115.4,65.8,18.98,high,low,low,-5.2,NA,120,46,low,low,5.38,low,758911.5,-1.5710477882094556,10109.919999999998,-1.717218551671142
B,5.26666666666667,23.9066666666667,0.338,63.4,136.4,0.219999999999999,0.0599999999999996,negative,115.4,45.8,zero,zero,zero,96,119.2,65.2,19.24,high,low,low,-5,NA,120,46,low,low,5.36,low,8040049.5,-1.2,270406.07999999996,-2.628559390220687
B,5.28666666666667,23.98,0.248666666666667,69,143.8,0.16,0.12,negative,122,45.8,zero,zero,zero,98,120,65.2,18.42,high,low,low,-5,NA,120,46,low,low,5.36,low,8040049.5,-1.873508893593265,269818.08,-2.628559390220687
D,5.51333333333333,24.0733333333333,0.226,68.8,138.4,0.120000000000001,0.0199999999999996,negative,113.6,46.2,zero,zero,zero,76,120.6,65.4,14.04,high,high,high,-5,NA,120,46,low,high,5.58,high,8048071.5,-1.6901613323034066,288040,-2.347716995362465
C,5.22666666666667,23.9533333333333,0.353333333333333,66.4,142.8,0.140000000000001,0.0599999999999996,negative,120.6,46.2,zero,zero,zero,98,119.6,67.4,21.1,high,low,low,-5.4,NA,120,46,low,low,5.3,low,7952071.5,-1.2254033307585166,274688.22000000003,-1.7280530502938132
C,5.38,24.0133333333333,0.274,68.6,141.6,0.239999999999998,0.04,negative,125.6,46,zero,zero,zero,110,120.4,66.8,22.9,high,low,low,-5,NA,120,46,low,low,5.4,low,7769681.5,-1.2516685226452116,255612,-2.079401977103413
B,5.34,23.9666666666667,0.313333333333333,69.6,143,0.319999999999997,0.0600000000000005,negative,119,46,zero,zero,zero,102,119.2,67.8,16.78,high,low,low,-5,NA,120,46,low,low,5.42,low,7928161.5,-1.2678797912910749,260641.5,-2.096787724877965
B,5.34666666666667,23.9933333333333,0.257333333333333,68,141.2,0.0199999999999996,0.0200000000000005,negative,119.2,46.2,zero,zero,zero,96,119.4,65.2,20.28,high,low,low,-4.6,NA,120,46,low,low,5.4,low,7920199.5,-1.5527864045000421,269671.18,-2.347716995362465
B,5.33333333333333,24.0066666666667,0.308,67.4,140.6,0.0199999999999996,0.0199999999999996,negative,127,46,zero,zero,zero,98,121.2,65.4,14.28,high,low,low,-4.4,NA,120,46,low,low,5.38,low,7936127.5,-1.470849737787082,267326.22000000003,-2.1708524173271297
B,5.28,23.96,0.260666666666667,64.6,138.6,0.18,0.04,negative,119.4,46.4,zero,zero,zero,104,121,65,19.88,high,low,low,-4.8,NA,120,46,low,low,5.34,low,7936127.5,-1.3868116113297644,265574.22,-2.1708524173271297
D,5.49,23.82,0.264666666666667,68.6,138.6,0.16,0.0199999999999996,negative,126.6,46,zero,zero,zero,84,119.2,65.4,21.4,high,high,high,-4.4,NA,120,46,low,high,5.64,high,7960049.5,-1.7316718427000253,264264,-1.8973872718695528
B,5.24,24.1866666666667,0.152666666666667,69.2,144.2,0.119999999999997,0.12,negative,130.6,45.8,zero,zero,zero,96,119.8,64.8,21.82,high,low,low,-4.4,NA,120,46,low,low,5.42,low,7944097.5,-1.6422291236000337,263682.72000000003,-1.5971674729565886
B,5.30666666666667,23.94,0.276666666666667,62.8,135.4,0.400000000000002,0.04,negative,130,46.2,zero,zero,zero,100,120.6,65.6,20.56,high,low,low,-4.2,NA,120,46,low,low,5.4,low,7920199.5,-1.4134848680553929,269377.5,-1.796278502463194
B,5.32666666666667,23.9933333333333,0.284666666666667,70,144.8,0.18,0.0199999999999996,negative,124.8,49.8,zero,zero,zero,102,125.4,65.4,24.06,high,low,low,-4.8,NA,120,46,low,low,5.38,low,508031.5,-1.393369964475876,205568.22000000003,-2.253598641734705
B,5.3,23.9533333333333,0.321333333333333,68.6,143.4,0.0599999999999987,0,negative,122.2,46.2,zero,zero,zero,96,120,67.4,24.06,high,low,low,-5.4,NA,120,46,low,low,5.4,low,7936127.5,-1.5527864045000421,261653.27999999997,-1.5429837440983076
B,5.32666666666667,23.9066666666667,0.298666666666667,66,139.2,0.3,0.08,negative,124.8,46,zero,zero,zero,98,119.8,67.2,24.06,high,low,low,-5.4,NA,120,46,low,low,5.42,low,7928161.5,-1.4940355743730593,263973.28,-1.6353040793838498
B,5.29333333333333,23.86,0.322,73.4,150,0.3,0.0199999999999996,negative,121,46.2,zero,zero,zero,98,120.4,66.6,19.56,high,low,low,-5.6,NA,120,46,low,low,5.42,low,7936127.5,-1.6312182217082845,268790.62000000005,-1.665084835360119
B,5.16,23.8933333333333,0.314,61.6,138,0.120000000000001,0.140000000000001,negative,118.8,46,zero,zero,zero,100,120.2,67.2,16.46,high,low,low,-5.4,NA,120,46,low,low,5.4,low,7944097.5,-1.4633436854000506,264700.38,-1.4837828023158277
C,5.26,24.06,0.288666666666667,65.2,138.8,0.0600000000000023,0.12,negative,121.8,49.6,zero,zero,zero,120,113.2,68.2,23.26,high,low,low,-5.2,NA,120,48,low,low,5.28,low,686791.5,-1.478463807583788,27004.38,-1.3063602060565387
C,5.21333333333333,24,0.34,64.6,142.2,0.200000000000003,0.12,negative,124.2,48.2,zero,zero,zero,100,119.2,65.6,21.14,high,low,low,-5.4,NA,120,48,low,low,5.32,low,7936127.5,-1.6,267618.78,-1.6959690005066166
D,5.4133333333333304,23.9866666666667,0.310666666666667,74.2,147.6,0.0599999999999987,0.0199999999999996,negative,124.2,48,zero,zero,zero,80,119.4,66.8,23.58,high,high,high,-5.8,NA,120,48,low,high,5.6,high,7952071.5,-1.8,267911.5,-1.9389551378845242
D,5.5,24.1,0.338666666666667,71.2,141.4,0.440000000000001,0.0399999999999991,negative,116,48,zero,zero,zero,76,116.8,66,20.1,high,high,high,-5.8,NA,120,48,low,high,5.62,high,7936127.5,-1.6422291236000337,259487.58,-1.7501628257398356
A,5.4133333333333304,23.9933333333333,0.335333333333333,61.8,132.6,0.18,0.0600000000000005,negative,120.8,47.8,above_zero,above_zero,above_zero,98,110.2,65.8,19.88,high,high,high,-5.6,NA,110,48,low,mid,5.52,high,7166897.5,-1.373900966300059,236533.91999999995,-2.079401977103413
A,5.34,24.0066666666667,0.335333333333333,67.2,140,0.0999999999999979,0.0999999999999996,negative,117.2,48,above_zero,above_zero,above_zero,92,110.4,66.2,24.24,high,high,high,-5.6,NA,110,48,low,mid,5.52,high,7936127.5,-1.5101020514433645,262232.32,-2.1516047398582434
D,5.53333333333333,23.96,0.292,73,143.4,0.100000000000001,0.0200000000000005,negative,113.2,60.2,above_zero,above_zero,above_zero,82,113.4,64.2,16.2,high,high,high,-5.8,NA,130,52,low,high,5.64,high,6479999.5,-1.7316718427000253,207238.71999999997,-2.3229249923991047
B,5.26,23.9866666666667,0.34,68.4,144,0.0799999999999983,0,negative,116,54,above_zero,above_zero,above_zero,116,126,66.2,16.26,high,low,low,-5,NA,130,48,low,low,5.38,low,2770657.5,-1.4633436854000506,164507.98,-2.013704892242412
D,5.46666666666667,24.0466666666667,0.268,71.4,143.2,0.18,0.0599999999999996,negative,125.8,48,above_zero,above_zero,above_zero,80,120,65.4,20.32,high,high,high,-5.4,NA,120,48,low,high,5.62,high,7182049.5,-1.6653359893863697,237222.21999999997,-2.1708524173271297
D,5.48666666666667,23.9933333333333,0.259333333333333,75.4,147.6,0.0799999999999983,0.0199999999999996,negative,122.2,48,above_zero,above_zero,above_zero,80,121.6,65,22.94,high,high,high,-5.4,NA,120,48,low,high,5.66,high,7189631.5,-1.6101282262076415,225522.78000000003,-2.2319707625728427
B,5.24,23.9333333333333,0.324666666666667,67.2,142.8,0.0800000000000018,0,negative,133.4,46,above_zero,above_zero,above_zero,108,120.2,65.4,19.58,high,low,low,-5.4,NA,120,46,low,low,5.36,low,7189631.5,-1.4633436854000506,231607.68000000002,-2.0624206112940184
C,5.26,23.9666666666667,0.326,65,139.6,0.0399999999999991,0,negative,117,48.2,above_zero,above_zero,above_zero,100,119.8,67,16.44,high,low,low,-4.4,NA,120,48,low,low,5.34,low,6904327.5,-1.6901613323034066,228757.97999999998,-1.5002915937722725
C,5.21333333333333,23.7866666666667,0.398666666666667,69.8,146.6,0.259999999999998,0.0600000000000005,negative,122.6,47.8,above_zero,above_zero,above_zero,106,120.2,67,18,high,low,low,-4.4,NA,120,48,low,low,5.36,low,6904327.5,-1.4633436854000506,222043.97999999998,-1.49199835286105
C,5.2,23.9066666666667,0.361333333333333,68.2,145.2,0.0400000000000027,0,negative,118.2,52.6,above_zero,above_zero,above_zero,124,117.6,66.8,21.16,high,low,low,-4.4,NA,120,48,low,low,5.3,low,5107207.5,-1.7633568086760154,161880,-1.9109957471629402
B,5.22666666666667,24.0466666666667,0.262666666666667,71.2,148.6,0.0599999999999987,0.100000000000001,negative,125.4,42.4,zero,zero,zero,130,121.6,68.8,19.56,low,low,low,-4.2,NA,120,48,low,low,5.66,low,686791.5,-1.470849737787082,42223.68000000001,-2.1516047398582434
B,5.27333333333333,24.1066666666667,0.404666666666667,65.2,140,0.100000000000001,0.0200000000000005,negative,129,42.4,zero,zero,zero,122,120.4,65.8,21.8,low,low,low,-5,NA,120,48,low,low,5.32,low,508031.5,-1.2957273255336397,27004.38,-2.079401977103413
D,5.50666666666667,23.9866666666667,0.259333333333333,70.6,140.2,0.0999999999999979,0.08,negative,121.4,46,above_zero,above_zero,above_zero,80,118.6,63.8,19.84,high,high,high,-5,NA,120,46,low,high,5.6,high,7597201.5,-1.5439298299603448,266449.5,-2.299018741836315
B,5.26666666666667,23.8866666666667,0.348,67.2,141.2,0.32,0.24,negative,122.8,48,above_zero,above_zero,above_zero,98,119.6,66.6,17.32,high,low,low,-5.8,NA,120,48,low,low,5.38,low,7235207.5,-1.6535898384862247,239431.5,-2.096787724877965
A,5.32666666666667,23.92,0.266,73.6,149.4,0.219999999999999,0.0600000000000005,negative,122.4,52,above_zero,above_zero,above_zero,120,121.4,71.6,17.74,high,high,high,-5.8,NA,120,50,low,mid,5.32,high,1158241.5,-1.33667504192892,48984,-1.398110789705079
B,5.25333333333333,24.0933333333333,0.329333333333333,66,141.4,0.140000000000001,0.04,negative,123.2,48,above_zero,above_zero,above_zero,98,120,65.4,16.84,high,low,low,-5.4,NA,120,48,low,low,5.36,low,7242817.5,-1.6205266807797944,240262.62000000002,-1.967975021339981
A,5.34,23.8733333333333,0.231333333333333,68,140.6,0.0799999999999983,0.12,negative,120.8,52.4,above_zero,above_zero,above_zero,94,125.4,68.4,21.54,high,high,high,-5.2,NA,130,50,low,mid,5.7,high,7258049.5,-1.5804764607319393,242625.28000000003,-1.953326875586271
A,5.66,23.7933333333333,0.332,76,143.8,0.0199999999999996,0.100000000000001,negative,116.2,48.4,zero,zero,zero,120,119.8,65,20.16,low,low,high,-5.8,NA,130,46,low,low,5.66,zero,7992001.5,-1.1190913781781904,267911.5,-2.5104876238450946
A,5.36666666666667,23.8733333333333,0.316666666666667,77.4,152.2,0.16,0.0199999999999996,negative,119.2,46,above_zero,above_zero,above_zero,122,120.8,69,17.94,high,high,high,-5.8,NA,120,46,low,mid,5.62,high,6808049.5,-1.590121969361616,222977.91999999998,-0.9377124972824321
A,5.46,24.0133333333333,0.368,66,136.6,0.32,0.04,negative,122.8,51,zero,above_zero,zero,68,122.2,67.6,22.16,low,high,high,-5.8,NA,120,46,low,mid,5.58,high,506017.5,-1.4861906968533947,10109.919999999998,-0.8414050796240655
D,5.54,23.9133333333333,0.299333333333333,70.8,140.4,0.0600000000000023,0.04,negative,120.4,40.6,zero,above_zero,zero,124,125,75.4,19.44,low,high,high,-5.4,NA,120,46,low,high,5.68,high,510049.5,-1.6,121.17999999999999,-1.428319578379618
B,5.34666666666667,23.9666666666667,0.31,67.6,140.8,0.219999999999999,0.04,negative,116.4,46,above_zero,above_zero,above_zero,96,120,65.2,19.38,high,low,low,-5.4,NA,120,46,low,low,5.4,low,7527199.5,-1.2733639150166018,245419.68000000002,-2.0458230609372223
D,5.48666666666667,23.8466666666667,0.348,73.6,146,0.38,0.0599999999999996,negative,122.4,56,zero,above_zero,zero,98,146.6,64.4,22.62,low,high,high,-5.6,NA,120,46,low,high,5.6,high,508031.5,-1.3306719787727395,48984,-2.373472195596232
B,5.28666666666667,23.9666666666667,0.368,67.4,143,0.0399999999999991,0.08,negative,115.8,46,above_zero,above_zero,above_zero,96,119.6,65.8,21.78,high,low,low,-5.2,NA,120,46,low,low,5.36,low,8048071.5,-1.4,267180,-2.0624206112940184
A,5.42666666666667,24.1333333333333,0.447333333333333,60.4,134.6,0.600000000000001,0.0200000000000005,negative,119,51.8,above_zero,above_zero,above_zero,118,120.4,66.2,18.24,high,high,high,-4.6,NA,120,52,low,mid,5.54,high,7589407.5,-1.1851380485014653,247385.27999999997,-2.1708524173271297
A,5.40666666666667,24.0933333333333,0.317333333333333,64.4,135.8,0.32,0.0600000000000005,negative,116.4,51.8,above_zero,above_zero,above_zero,82,118.6,66,17.52,high,high,high,-4.8,NA,120,52,low,mid,5.5,high,7597201.5,-1.278889744907202,261653.27999999997,-2.096787724877965
